692,181,1223,138,
692,181,731,197,
731,197,1222,157,
1223,138,1222,157,
1073,220,1090,231,
1073,220,1210,201,
1210,201,1228,224,
1228,224,1242,227,
1242,227,1255,222,
1255,222,1264,209,
1264,209,1263,166,
646,255,859,229,
859,229,887,239,
887,241,661,272,
661,272,660,375,
660,375,666,387,
666,387,681,392,
681,392,697,389,
697,389,708,372,
708,372,713,348,
713,348,755,365,
891,242,1209,299,
1209,299,1176,308,
1176,308,887,257,
772,306,794,297,
794,297,826,313,
826,313,805,320,
805,320,772,306,
1277,375,1158,360,
1158,360,1159,377,
1159,377,1276,392,
1107,356,981,332,
981,332,961,343,
961,343,1092,365,
1092,365,1107,356,
964,348,793,394,
793,394,773,417,
773,417,969,364,
645,491,795,468,
795,468,821,479,
821,479,646,507,
902,438,945,419,
945,419,969,444,
969,444,986,449,
986,449,1003,440,
1003,440,1007,419,
1007,419,1023,419,
1023,419,1022,436,
1022,436,1009,455,
1009,455,990,463,
990,463,979,464,
979,464,960,458,
960,458,942,437,
942,437,915,448,
915,448,902,438,
824,481,1155,535,
1056,465,1096,421,
1096,421,1200,443,
1200,443,1224,480,
1224,480,1238,484,
1238,484,1255,477,
1255,477,1263,462,
1263,462,1261,451,
1261,451,1239,406,
1276,616,1061,592,
1061,592,1059,613,
1059,613,1050,626,
1050,626,1036,632,
1036,632,1023,628,
1023,628,1014,620,
1014,620,1011,613,
1011,613,1012,586,
1012,586,800,556,
800,556,799,570,
799,570,996,598,
697,504,666,525,
666,525,665,575,
665,575,672,587,
672,587,685,592,
685,592,702,589,
702,589,711,577,
711,577,711,555,
711,555,728,555,
728,555,729,581,
916,590,701,654,
701,654,690,676,
845,636,1182,687,
645,733,711,725,
711,725,721,753,
721,753,731,760,
731,760,747,760,
747,760,760,752,
760,752,765,733,
765,733,774,721,
774,721,910,700,
910,700,969,766,
969,766,980,767,
980,767,997,760,
997,760,1018,732,
1018,732,1029,728,
1029,728,1156,756,
1208,787,1039,771,
1149,688,1239,752,
1274,857,942,825,
935,827,906,825,
906,825,906,943,
833,942,833,836,
833,836,830,830,
830,830,821,827,
821,827,815,827,
815,827,808,834,
808,834,807,838,
807,838,807,943,
756,941,756,857,
756,857,749,845,
749,845,748,942,
664,854,664,751,
646,874,683,933,
683,933,683,957,
645,120,645,940,
1274,120,1274,940,
